time,.data
2022/11/28/23:03:58.578899,"(19, -18, 2, 7, 0, -4, -6, -1)"
2022/11/28/23:03:58.579784,"(14, 39, 13, 1, -1, -2, -5, -22)"
2022/11/28/23:03:58.579806,"(-5, 10, -2, 1, -1, 0, 3, -6)"
2022/11/28/23:03:58.602247,"(6, 3, -3, -17, -2, -2, 4, 1)"
2022/11/28/23:03:58.602273,"(-14, -39, -10, 4, -1, 1, 3, 20)"
2022/11/28/23:03:58.603004,"(0, -7, -2, 9, 3, 0, 1, -6)"
2022/11/28/23:03:58.603024,"(9, 2, -4, -10, 0, 1, -8, 2)"
2022/11/28/23:03:58.616519,"(-21, -5, 2, 7, -2, -1, -6, -38)"
2022/11/28/23:03:58.616541,"(14, 33, 1, -1, -2, -1, 5, 6)"
2022/11/28/23:03:58.617212,"(-13, -11, -4, -8, -2, 0, -6, -6)"
2022/11/28/23:03:58.617231,"(0, 4, 6, 6, 0, 0, 1, -6)"
2022/11/28/23:03:58.638835,"(5, -6, -9, -10, -4, 0, 3, 21)"
2022/11/28/23:03:58.638966,"(-18, 1, 9, 0, -3, 1, 9, 1)"
2022/11/28/23:03:58.639595,"(5, -9, -9, -12, -5, -2, -5, -24)"
2022/11/28/23:03:58.639616,"(-26, -3, 0, 13, 5, 1, -2, -20)"
2022/11/28/23:03:58.662806,"(16, -4, -1, 0, -2, -2, 10, 17)"
2022/11/28/23:03:58.662884,"(-1, 5, -11, -7, 0, -4, -10, -7)"
2022/11/28/23:03:58.663460,"(3, 0, 4, -9, -1, 2, 3, 13)"
2022/11/28/23:03:58.663537,"(24, 8, 6, 8, -3, -4, -5, -12)"
2022/11/28/23:03:58.676312,"(-20, -16, 1, -4, 3, 0, -10, -25)"
2022/11/28/23:03:58.676321,"(-3, 6, -14, -4, -2, 1, 5, 7)"
2022/11/28/23:03:58.677095,"(7, -21, 1, -2, 0, -1, -3, 1)"
2022/11/28/23:03:58.677117,"(-4, -6, 4, 4, -5, -1, 2, 3)"
2022/11/28/23:03:58.698848,"(-11, 31, -1, 2, -5, -1, 3, 13)"
2022/11/28/23:03:58.699918,"(9, -3, 14, -1, 4, -3, -7, 2)"
2022/11/28/23:03:58.699933,"(4, 3, -4, 2, 1, 0, -1, 0)"
2022/11/28/23:03:58.699939,"(-16, -10, -12, -9, -5, -6, 0, -53)"
2022/11/28/23:03:58.722614,"(-14, -7, 7, 6, 1, 1, 1, 4)"
2022/11/28/23:03:58.722643,"(-3, -2, -8, -1, -5, -2, 6, 3)"
2022/11/28/23:03:58.723473,"(-10, 4, -2, 1, 2, -1, -2, -6)"
2022/11/28/23:03:58.723944,"(-14, -6, -2, 1, -4, -2, -5, 13)"
2022/11/28/23:03:58.736355,"(20, 9, -3, -10, -3, -2, -7, -11)"
2022/11/28/23:03:58.736485,"(-6, -13, -4, 1, 0, -1, 3, 1)"
2022/11/28/23:03:58.737132,"(-6, 3, 10, 7, 3, 0, 2, 8)"
2022/11/28/23:03:58.737140,"(24, 10, -1, -9, -1, -1, -3, 17)"
2022/11/28/23:03:58.759038,"(-4, 4, 10, 3, 1, 0, -5, -12)"
2022/11/28/23:03:58.759251,"(-7, -10, -6, -2, -4, -3, -7, 0)"
2022/11/28/23:03:58.759989,"(24, 7, -2, 1, 0, 1, -3, 10)"
2022/11/28/23:03:58.760010,"(-30, 15, -1, -1, 0, 1, -8, -11)"
2022/11/28/23:03:58.782625,"(17, -13, 4, 2, 1, 0, 4, 3)"
2022/11/28/23:03:58.782658,"(-16, 7, 4, 4, 1, -2, -10, -15)"
2022/11/28/23:03:58.783347,"(12, 6, -1, -2, 1, 1, 9, 32)"
2022/11/28/23:03:58.783363,"(-59, -6, -4, -2, -1, -1, 1, -5)"
2022/11/28/23:03:58.796488,"(5, -7, -5, 3, 2, -1, -4, -24)"
2022/11/28/23:03:58.796510,"(13, 3, 4, 0, -2, 0, -2, 2)"
2022/11/28/23:03:58.797294,"(-9, 10, 1, -3, -2, -2, -2, -12)"
2022/11/28/23:03:58.797307,"(29, -16, -3, -3, 0, 3, 6, 12)"
2022/11/28/23:03:58.819075,"(5, 10, -1, 0, -3, -4, -4, 12)"
2022/11/28/23:03:58.819092,"(7, 14, 4, 2, 2, 5, -6, 0)"
2022/11/28/23:03:58.819957,"(-5, -26, -7, -3, -4, -1, -2, -10)"
2022/11/28/23:03:58.819981,"(7, 0, 0, 2, 1, 0, -4, -4)"
2022/11/28/23:03:58.842376,"(4, -2, 0, -1, 0, -2, -8, -5)"
2022/11/28/23:03:58.842417,"(7, 10, -1, -2, -2, 0, 6, 32)"
2022/11/28/23:03:58.843462,"(-22, 1, -1, 0, 0, -1, -6, -1)"
2022/11/28/23:03:58.843480,"(16, -3, -4, -2, 1, 2, 13, 2)"
2022/11/28/23:03:58.856123,"(-9, -5, 0, -2, -4, 1, 5, 6)"
2022/11/28/23:03:58.856385,"(8, -1, 1, -1, -2, -1, 1, 1)"
2022/11/28/23:03:58.857112,"(-27, 0, -3, -4, -5, -4, 0, -6)"
2022/11/28/23:03:58.857119,"(7, -13, -1, 0, -2, -2, -3, 5)"
2022/11/28/23:03:58.878900,"(-3, -4, -6, -10, -5, -3, 0, 1)"
2022/11/28/23:03:58.879174,"(10, 3, 0, 10, 6, 0, -5, -19)"
2022/11/28/23:03:58.879961,"(-61, -5, -5, -5, -1, -1, 2, -3)"
2022/11/28/23:03:58.879979,"(23, 8, 2, 0, 0, 0, -9, -14)"
2022/11/28/23:03:58.902122,"(-15, -6, -3, -2, -3, -4, -9, 1)"
2022/11/28/23:03:58.902135,"(-17, -2, -7, -9, -8, -3, 14, 3)"
2022/11/28/23:03:58.902904,"(26, -11, 1, 2, 0, -1, -8, -2)"
2022/11/28/23:03:58.902912,"(-12, -2, -3, -4, -3, -4, -9, -31)"
2022/11/28/23:03:58.916378,"(-7, -10, -2, 3, 2, 1, 6, 7)"
